Names;ZM;FV;FA;GA;IB;LL;DE;IsAlive;Biomass;Export;Respiration;TrophicLevel
ZM;0.0;0.0;0.0;2.756893637611212;4.863043552018167;6.23837910432841;0.0;1.0;14139.558954248365;115.968220012189;244.401296758703;1.0
FV;0.0;0.0;0.0;2.6339095348181467;3.8836806144589526;6.207342392366577;0.0;1.0;13746.758344350037;625.4744276851843;452.632838480472;1.0
FA;0.0;0.0;0.0;1.7525234648011796;1.0694192996336247;4.7796536421222635;0.0;1.0;6771.5;1570.1184405220058;560.079668069287;1.0
GA;0.0;0.0;0.0;0.0;0.0;0.0;0.8471787468216257;1.0;37.65238874762781;0.0;9.401496485933809;2.0
IB;0.0;0.0;0.0;0.0;0.0;0.0;1.245173915079667;1.0;84.13337264051803;0.0;10.011871344221646;2.0
LL;0.0;0.0;0.0;0.0;0.0;0.0;3.6589033887403977;1.0;255.86736984198583;0.0;27.377808573092484;2.0
DE;0.0;0.0;0.0;3.115597270757652;1.440901793190568;13.811336823015633;0.0;0.0;0.0;0.0;0.0;0.0
Import;374.22783306484985;1090.8321987073;2137.79970499785;0.0;0.0;0.0;12.616579836322163;0.0;0.0;0.0;0.0;0.0
